2025-04-07 10:42:50,157 - INFO - Created a socket
2025-04-07 10:42:50,158 - INFO - Created a socket
2025-04-07 10:42:55,469 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,470 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,470 - INFO - trun angle: -193.7827692982306, filter angle: -12.918851286548707
2025-04-07 10:42:55,478 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,479 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,479 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,480 - INFO - trun angle: -193.7827692982306, filter angle: -24.97644582066083
2025-04-07 10:42:55,489 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,490 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,490 - INFO - trun angle: -193.7827692982306, filter angle: -36.23020071916548
2025-04-07 10:42:55,499 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,499 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,500 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,500 - INFO - trun angle: -193.7827692982306, filter angle: -46.733705291103156
2025-04-07 10:42:55,508 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,509 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,510 - INFO - trun angle: -193.7827692982306, filter angle: -56.53697622491165
2025-04-07 10:42:55,518 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,519 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,519 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,520 - INFO - trun angle: -193.7827692982306, filter angle: -65.6866957631329
2025-04-07 10:42:55,529 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,529 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,534 - INFO - trun angle: -193.7827692982306, filter angle: -74.22643399880607
2025-04-07 10:42:55,541 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,542 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,542 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,543 - INFO - trun angle: -193.7827692982306, filter angle: -82.19685635210105
2025-04-07 10:42:55,548 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,549 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,549 - INFO - trun angle: -193.7827692982306, filter angle: -89.63591721517633
2025-04-07 10:42:55,559 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,560 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,560 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,561 - INFO - trun angle: -193.7827692982306, filter angle: -96.57904068737996
2025-04-07 10:42:55,569 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,570 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,570 - INFO - trun angle: -193.7827692982306, filter angle: -103.05928926143665
2025-04-07 10:42:55,581 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,581 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,582 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,582 - INFO - trun angle: -193.7827692982306, filter angle: -109.10752126388958
2025-04-07 10:42:55,589 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,590 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,590 - INFO - trun angle: -193.7827692982306, filter angle: -114.75253779951231
2025-04-07 10:42:55,598 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,599 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,599 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,600 - INFO - trun angle: -193.86186849823062, filter angle: -120.02649317942686
2025-04-07 10:42:55,608 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,609 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,609 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,610 - INFO - trun angle: -193.7827692982306, filter angle: -124.94357825401379
2025-04-07 10:42:55,619 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
2025-04-07 10:42:55,619 - INFO - ego_x:118.81699229999998,ego_y:31.892303099999992
