2025-04-07 14:39:55,649 - INFO - Created a socket
2025-04-07 14:39:55,650 - INFO - Created a socket
2025-04-07 14:39:55,688 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,688 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,692 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,692 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,698 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,708 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,718 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,730 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,738 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,748 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,758 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,768 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,784 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,788 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,798 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,799 - INFO - trun angle: -134.4752403156037, filter angle: -8.965016021040247
2025-04-07 14:39:55,808 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,818 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,828 - INFO - trun angle: -134.4752403156037, filter angle: -17.33236430734448
2025-04-07 14:39:55,835 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,838 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,850 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,851 - INFO - trun angle: -134.4752403156037, filter angle: -25.141889374561757
2025-04-07 14:39:55,859 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,873 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,878 - INFO - trun angle: -134.4752403156037, filter angle: -32.43077943729789
2025-04-07 14:39:55,881 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,888 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,898 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,899 - INFO - trun angle: -134.4752403156037, filter angle: -39.23374349585161
2025-04-07 14:39:55,908 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,918 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,928 - INFO - trun angle: -134.4752403156037, filter angle: -45.58317661716842
2025-04-07 14:39:55,933 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,938 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,950 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,951 - INFO - trun angle: -134.4752403156037, filter angle: -51.50931419706411
2025-04-07 14:39:55,958 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,968 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,978 - INFO - trun angle: -134.4752403156037, filter angle: -57.04037593830008
2025-04-07 14:39:55,984 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,988 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,998 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:55,999 - INFO - trun angle: -134.4752403156037, filter angle: -62.20270023012033
2025-04-07 14:39:56,008 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,018 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,028 - INFO - trun angle: -134.4752403156037, filter angle: -67.02086956915255
2025-04-07 14:39:56,034 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,038 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,050 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,051 - INFO - trun angle: -134.4752403156037, filter angle: -71.51782761891596
2025-04-07 14:39:56,059 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,073 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,078 - INFO - trun angle: -134.4752403156037, filter angle: -75.7149884653618
2025-04-07 14:39:56,081 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,088 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,098 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,098 - INFO - trun angle: -134.4752403156037, filter angle: -79.63233858871126
2025-04-07 14:39:56,108 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,118 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,128 - INFO - trun angle: -134.4752403156037, filter angle: -83.28853203717077
2025-04-07 14:39:56,132 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,138 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,150 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,151 - INFO - trun angle: -134.4752403156037, filter angle: -86.70097925573296
2025-04-07 14:39:56,158 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,168 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,178 - INFO - trun angle: -134.4752403156037, filter angle: -89.88592999305767
2025-04-07 14:39:56,181 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,188 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,198 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,199 - INFO - trun angle: -134.4752403156037, filter angle: -92.8585506812274
2025-04-07 14:39:56,208 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,218 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,228 - INFO - trun angle: -134.4752403156037, filter angle: -95.6329966568525
2025-04-07 14:39:56,232 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,238 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,248 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,249 - INFO - trun angle: -134.4752403156037, filter angle: -98.2224795674359
2025-04-07 14:39:56,259 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,273 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,278 - INFO - trun angle: -134.4752403156037, filter angle: -100.63933028398043
2025-04-07 14:39:56,282 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,288 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,298 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,299 - INFO - trun angle: -134.4752403156037, filter angle: -102.89505761942199
2025-04-07 14:39:56,308 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,318 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,328 - INFO - trun angle: -134.4752403156037, filter angle: -105.00040313250078
2025-04-07 14:39:56,331 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,338 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,350 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,351 - INFO - trun angle: -134.4752403156037, filter angle: -106.96539227804097
2025-04-07 14:39:56,358 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,368 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,378 - INFO - trun angle: -134.4752403156037, filter angle: -108.79938214721182
2025-04-07 14:39:56,381 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,388 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,398 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,398 - INFO - trun angle: -134.39614111560368, filter angle: -110.5058327451046
2025-04-07 14:39:56,408 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,418 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,428 - INFO - trun angle: -134.39614111560368, filter angle: -112.09851996980456
2025-04-07 14:39:56,431 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,438 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,450 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,451 - INFO - trun angle: -134.39614111560368, filter angle: -113.58502804619117
2025-04-07 14:39:56,459 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,473 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,478 - INFO - trun angle: -134.39614111560368, filter angle: -114.97243558415201
2025-04-07 14:39:56,481 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,488 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,498 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,498 - INFO - trun angle: -134.39614111560368, filter angle: -116.2673492862488
2025-04-07 14:39:56,508 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,518 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,528 - INFO - trun angle: -134.39614111560368, filter angle: -117.47593540820579
2025-04-07 14:39:56,532 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,538 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,548 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,549 - INFO - trun angle: -134.39614111560368, filter angle: -118.60394912203233
2025-04-07 14:39:56,558 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,568 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,578 - INFO - trun angle: -134.31704191560365, filter angle: -119.65148864160373
2025-04-07 14:39:56,581 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,588 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,598 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,598 - INFO - trun angle: -134.31704191560365, filter angle: -120.62919219320374
2025-04-07 14:39:56,608 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,618 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,628 - INFO - trun angle: -134.31704191560365, filter angle: -121.54171550803038
2025-04-07 14:39:56,632 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,638 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,648 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,649 - INFO - trun angle: -134.31704191560365, filter angle: -122.39340393520192
2025-04-07 14:39:56,659 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,673 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,678 - INFO - trun angle: -134.31704191560365, filter angle: -123.18831313389538
2025-04-07 14:39:56,681 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,688 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,698 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,698 - INFO - trun angle: -134.31704191560365, filter angle: -123.93022838600925
2025-04-07 14:39:56,708 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,718 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,728 - INFO - trun angle: -134.31704191560365, filter angle: -124.62268262131553
2025-04-07 14:39:56,732 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,738 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,748 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,750 - INFO - trun angle: -134.31704191560365, filter angle: -125.26897324093473
2025-04-07 14:39:56,758 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,768 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,778 - INFO - trun angle: -134.31704191560365, filter angle: -125.87217781924599
2025-04-07 14:39:56,784 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,788 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,798 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,799 - INFO - trun angle: -134.31704191560365, filter angle: -126.43516875900316
2025-04-07 14:39:56,808 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,818 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,827 - INFO - trun angle: -134.31704191560365, filter angle: -126.9606269694432
2025-04-07 14:39:56,830 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,838 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,848 - INFO - ego_x:118.8169671,ego_y:31.8925854
2025-04-07 14:39:56,849 - INFO - trun angle: -134.31704191560365, filter angle: -127.45105463252055
2025-04-07 14:39:56,859 - INFO - ego_x:118.8169671,ego_y:31.8925854
