2025-04-07 16:33:22,527 - INFO - Created a socket
2025-04-07 16:33:22,528 - INFO - Created a socket
2025-04-07 16:33:22,571 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,571 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,575 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,576 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,576 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,588 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,595 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,609 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,615 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,625 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,635 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,645 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,656 - INFO - trun angle: -18.965792485682506, filter angle: -1.264386165712167
2025-04-07 16:33:22,667 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,671 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,675 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,677 - INFO - trun angle: -19.044891685682526, filter angle: -2.449753200376857
2025-04-07 16:33:22,686 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,695 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,706 - INFO - trun angle: -19.044891685682526, filter angle: -3.5560957660639025
2025-04-07 16:33:22,715 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,716 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,725 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,726 - INFO - trun angle: -18.965792485682506, filter angle: -4.583408880705142
2025-04-07 16:33:22,738 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,745 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,755 - INFO - trun angle: -18.965792485682506, filter angle: -5.5422344543703
2025-04-07 16:33:22,766 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,767 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,775 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,778 - INFO - trun angle: -18.965792485682506, filter angle: -6.437138323124447
2025-04-07 16:33:22,785 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,796 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,806 - INFO - trun angle: -18.965792485682506, filter angle: -7.272381933961652
2025-04-07 16:33:22,813 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,815 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,825 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,826 - INFO - trun angle: -18.965792485682506, filter angle: -8.05194263740971
2025-04-07 16:33:22,835 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,845 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,855 - INFO - trun angle: -18.965792485682506, filter angle: -8.779532627294563
2025-04-07 16:33:22,859 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,865 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,875 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,876 - INFO - trun angle: -19.044891685682526, filter angle: -9.46388989785376
2025-04-07 16:33:22,885 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,895 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,905 - INFO - trun angle: -18.965792485682506, filter angle: -10.097350070375676
2025-04-07 16:33:22,911 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,915 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,925 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,926 - INFO - trun angle: -19.044891685682526, filter angle: -10.693852844729465
2025-04-07 16:33:22,935 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,945 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,955 - INFO - trun angle: -19.044891685682526, filter angle: -11.25058876745967
2025-04-07 16:33:22,959 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,965 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,975 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,976 - INFO - trun angle: -18.965792485682506, filter angle: -11.764935682007858
2025-04-07 16:33:22,985 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:22,995 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,005 - INFO - trun angle: -18.965792485682506, filter angle: -12.244992802252833
2025-04-07 16:33:23,012 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,015 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,029 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,030 - INFO - trun angle: -18.965792485682506, filter angle: -12.69304611448148
2025-04-07 16:33:23,037 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,045 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,056 - INFO - trun angle: -18.965792485682506, filter angle: -13.11122920589488
2025-04-07 16:33:23,063 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,070 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,075 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,076 - INFO - trun angle: -18.965792485682506, filter angle: -13.501533424547386
2025-04-07 16:33:23,085 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,095 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,105 - INFO - trun angle: -18.965792485682506, filter angle: -13.865817361956395
2025-04-07 16:33:23,111 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,126 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,126 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,127 - INFO - trun angle: -18.965792485682506, filter angle: -14.205815703538134
2025-04-07 16:33:23,135 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,145 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,155 - INFO - trun angle: -18.965792485682506, filter angle: -14.523147489014427
2025-04-07 16:33:23,160 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,165 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,175 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,176 - INFO - trun angle: -18.965792485682506, filter angle: -14.81932382212563
2025-04-07 16:33:23,185 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,195 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,206 - INFO - trun angle: -18.965792485682506, filter angle: -15.095755066362756
2025-04-07 16:33:23,210 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,215 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,226 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,227 - INFO - trun angle: -18.965792485682506, filter angle: -15.353757560984072
2025-04-07 16:33:23,235 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,245 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,255 - INFO - trun angle: -18.965792485682506, filter angle: -15.594559889297301
2025-04-07 16:33:23,261 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,265 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,275 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,276 - INFO - trun angle: -19.044891685682526, filter angle: -15.824582009056316
2025-04-07 16:33:23,285 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,297 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,305 - INFO - trun angle: -19.044891685682526, filter angle: -16.039269320831398
2025-04-07 16:33:23,310 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,315 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,325 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,329 - INFO - trun angle: -19.044891685682526, filter angle: -16.239644145154802
2025-04-07 16:33:23,338 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,345 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,355 - INFO - trun angle: -19.044891685682526, filter angle: -16.42666064785665
2025-04-07 16:33:23,362 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,365 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,375 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,376 - INFO - trun angle: -19.044891685682526, filter angle: -16.60120938371171
2025-04-07 16:33:23,385 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,395 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,408 - INFO - trun angle: -19.044891685682526, filter angle: -16.76412153717643
2025-04-07 16:33:23,423 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,423 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,425 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,426 - INFO - trun angle: -19.044891685682526, filter angle: -16.916172880410166
2025-04-07 16:33:23,435 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,447 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,455 - INFO - trun angle: -19.044891685682526, filter angle: -17.058087467428322
2025-04-07 16:33:23,459 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,465 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,476 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,479 - INFO - trun angle: -19.044891685682526, filter angle: -17.1905410819786
2025-04-07 16:33:23,485 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,496 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,506 - INFO - trun angle: -19.044891685682526, filter angle: -17.31416445555886
2025-04-07 16:33:23,516 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,518 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,538 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,539 - INFO - trun angle: -19.044891685682526, filter angle: -17.42954627090044
2025-04-07 16:33:23,563 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,563 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,564 - INFO - trun angle: -19.044891685682526, filter angle: -17.53723596521924
2025-04-07 16:33:23,568 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,568 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,575 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,577 - INFO - trun angle: -19.044891685682526, filter angle: -17.63774634658346
2025-04-07 16:33:23,585 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,595 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,609 - INFO - trun angle: -19.044891685682526, filter angle: -17.731556035856727
2025-04-07 16:33:23,613 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,615 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,627 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,628 - INFO - trun angle: -19.044891685682526, filter angle: -17.819111745845113
2025-04-07 16:33:23,635 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,645 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,656 - INFO - trun angle: -19.044891685682526, filter angle: -17.900830408500937
2025-04-07 16:33:23,662 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,670 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,675 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,676 - INFO - trun angle: -19.044891685682526, filter angle: -17.97710116031304
2025-04-07 16:33:23,685 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,695 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,705 - INFO - trun angle: -19.044891685682526, filter angle: -18.048287195337668
2025-04-07 16:33:23,711 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
2025-04-07 16:33:23,718 - INFO - ego_x:118.81693239999998,ego_y:31.8928272
