2025-04-07 16:12:21,529 - INFO - Created a socket
2025-04-07 16:12:21,530 - INFO - Created a socket
2025-04-07 16:12:21,569 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,570 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,576 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,577 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,577 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,587 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,597 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,611 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,617 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,627 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,637 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,647 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,664 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,672 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,677 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,678 - INFO - trun angle: -17.43688730612239, filter angle: -1.1624591537414928
2025-04-07 16:12:21,687 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,697 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,707 - INFO - trun angle: -17.43688730612239, filter angle: -2.2474210305668856
2025-04-07 16:12:21,710 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,717 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,727 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,728 - INFO - trun angle: -17.43688730612239, filter angle: -3.2600521156039197
2025-04-07 16:12:21,737 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,747 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,757 - INFO - trun angle: -17.43688730612239, filter angle: -4.205174461638484
2025-04-07 16:12:21,762 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,767 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,777 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,778 - INFO - trun angle: -17.43688730612239, filter angle: -5.087288651270745
2025-04-07 16:12:21,787 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,797 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,807 - INFO - trun angle: -17.43688730612239, filter angle: -5.910595228260855
2025-04-07 16:12:21,812 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,817 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,827 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,828 - INFO - trun angle: -17.43688730612239, filter angle: -6.67901470011829
2025-04-07 16:12:21,837 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,847 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,857 - INFO - trun angle: -17.43688730612239, filter angle: -7.39620620718523
2025-04-07 16:12:21,860 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,867 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,877 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,878 - INFO - trun angle: -17.43688730612239, filter angle: -8.065584947114376
2025-04-07 16:12:21,887 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,897 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,907 - INFO - trun angle: -17.43688730612239, filter angle: -8.690338437714908
2025-04-07 16:12:21,910 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,917 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,927 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,928 - INFO - trun angle: -17.43688730612239, filter angle: -9.273441695608742
2025-04-07 16:12:21,937 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,947 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,957 - INFO - trun angle: -17.43688730612239, filter angle: -9.81767140297632
2025-04-07 16:12:21,961 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,967 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,977 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,978 - INFO - trun angle: -17.43688730612239, filter angle: -10.325619129852726
2025-04-07 16:12:21,987 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
2025-04-07 16:12:21,997 - INFO - ego_x:118.81693289999998,ego_y:31.89280789999998
