2025-04-23 11:10:51,026 - INFO - Created a socket
2025-04-23 11:10:51,032 - INFO - Created a socket
2025-04-23 11:10:54,622 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:54,772 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:54,896 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:54,969 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,062 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,228 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,336 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,467 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,587 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,652 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,724 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,791 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,857 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,918 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:55,983 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,048 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,123 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,234 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,377 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,481 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,557 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,626 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,726 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,891 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:56,961 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,067 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,140 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,233 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,302 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,433 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,508 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,592 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,662 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,733 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,852 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:57,958 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,033 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,099 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,166 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,231 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,299 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,365 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,435 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,496 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,564 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,635 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,700 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,783 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,852 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,920 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:58,979 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,046 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,106 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,172 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,238 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,298 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,364 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,430 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,490 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,555 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,621 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,683 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,748 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,809 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,874 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,941 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:10:59,999 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,067 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,219 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,288 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,354 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,421 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,480 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,546 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,602 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,670 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,736 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,796 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,862 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,927 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:00,986 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,051 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,110 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,176 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,243 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,302 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,366 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,430 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,489 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,555 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,620 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,679 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,744 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,804 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,868 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,933 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:01,991 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,055 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,121 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,180 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,244 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,303 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,368 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,433 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,491 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,555 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,621 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,680 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,746 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,808 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,878 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:02,947 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,005 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,156 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,222 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,289 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,354 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,420 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,477 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,540 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,598 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,661 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,727 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,784 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,850 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,907 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:03,973 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:04,040 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:04,101 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-23 11:11:04,166 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
