2025-04-23 15:31:09,409 - INFO - Created a socket
2025-04-23 15:31:09,411 - INFO - Created a socket
2025-04-23 15:31:14,967 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,195 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,456 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,608 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,690 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,765 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,832 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,905 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:15,972 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,044 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,134 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,229 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,343 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,465 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,665 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,844 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:16,949 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,091 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,207 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,375 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,441 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,508 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,575 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,727 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,804 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,869 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:17,934 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,000 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,067 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,135 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,202 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,270 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,337 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,404 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,471 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,538 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,604 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,669 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,735 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,802 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,869 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,930 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:18,997 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:19,064 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:19,125 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:19,190 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:19,257 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
2025-04-23 15:31:19,316 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:3
