2025-04-17 18:02:30,788 - INFO - Created a socket
2025-04-17 18:02:30,790 - INFO - Created a socket
2025-04-17 18:02:31,002 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:31,099 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:31,221 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:31,486 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:31,616 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:31,743 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:31,844 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,142 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,323 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,409 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,493 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,615 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,727 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,827 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:32,935 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,030 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,101 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,171 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,258 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,505 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,608 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,686 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,756 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,859 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,931 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:33,997 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,064 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,137 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,203 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,271 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,373 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,514 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,606 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,700 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,797 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:34,900 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,030 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,125 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,209 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,281 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,368 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,501 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,601 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,671 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,742 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,824 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,904 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:35,969 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,034 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,098 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,163 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,233 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,298 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,369 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,443 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,552 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,656 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,750 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,840 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,922 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 18:02:36,997 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
