2025-04-17 17:05:45,298 - INFO - Created a socket
2025-04-17 17:05:45,302 - INFO - Created a socket
2025-04-17 17:05:45,455 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:45,536 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:45,648 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:45,743 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:45,821 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:45,906 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:45,984 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,073 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,180 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,312 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,447 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,593 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,731 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,861 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:46,994 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,130 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,224 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,307 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,392 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,690 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,830 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:47,912 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,015 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,127 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,218 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,320 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,426 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,563 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,701 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,807 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,904 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:48,993 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,066 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,152 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,221 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,317 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,390 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,462 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,531 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,604 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,674 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,790 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,861 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:49,972 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,168 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,285 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,375 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,517 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,598 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,711 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,819 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:50,922 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,027 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,111 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,195 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,288 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,390 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,500 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,575 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,666 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:5
2025-04-17 17:05:51,744 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:6
2025-04-17 17:05:51,844 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:6
2025-04-17 17:05:51,940 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:6
2025-04-17 17:05:52,009 - INFO - state.v: 2.7, nearest_index: (1,), min_diff_Index:6
2025-04-17 17:05:52,244 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:6
2025-04-17 17:05:52,316 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:6
2025-04-17 17:05:52,389 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:6
2025-04-17 17:05:52,462 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:6
2025-04-17 17:05:52,566 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:6
2025-04-17 17:05:52,679 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:6
2025-04-17 17:05:52,757 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:7
2025-04-17 17:05:52,835 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:7
2025-04-17 17:05:52,928 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:7
2025-04-17 17:05:52,996 - INFO - state.v: 2.7, nearest_index: (2,), min_diff_Index:7
2025-04-17 17:05:53,065 - INFO - state.v: 2.7, nearest_index: (3,), min_diff_Index:7
2025-04-17 17:05:53,131 - INFO - state.v: 2.7, nearest_index: (3,), min_diff_Index:7
2025-04-17 17:05:53,199 - INFO - state.v: 2.7, nearest_index: (3,), min_diff_Index:7
2025-04-17 17:05:53,269 - INFO - state.v: 2.7, nearest_index: (3,), min_diff_Index:7
2025-04-17 17:05:53,342 - INFO - state.v: 2.7, nearest_index: (3,), min_diff_Index:8
