2025-04-17 17:12:01,872 - INFO - Created a socket
2025-04-17 17:12:01,875 - INFO - Created a socket
2025-04-17 17:12:43,008 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,068 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,124 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,186 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,248 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,310 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,372 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,435 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,499 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,562 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,624 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,686 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,747 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,808 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,870 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,931 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:43,992 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,053 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,115 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,177 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,239 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,302 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,363 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,506 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,569 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:12:44,633 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
