2025-04-23 15:09:08,307 - INFO - Created a socket
2025-04-23 15:09:08,311 - INFO - Created a socket
2025-04-23 15:09:11,278 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:11,470 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:11,576 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:11,732 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:11,824 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:11,912 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:11,995 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,074 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,192 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,319 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,442 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,541 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,741 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,861 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:12,926 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,002 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,067 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,133 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,252 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,398 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,614 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,699 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:09:13,782 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
