2025-04-23 16:25:17,939 - INFO - Created a socket
2025-04-23 16:25:17,947 - INFO - Created a socket
2025-04-23 16:25:18,389 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:18,597 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:18,737 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:18,848 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:18,959 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,036 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,119 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,236 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,349 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,487 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,671 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:19,891 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,110 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,340 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,460 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,569 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,692 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,762 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:25:20,883 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
