2025-04-23 15:20:06,664 - INFO - Created a socket
2025-04-23 15:20:06,666 - INFO - Created a socket
2025-04-23 15:22:17,567 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:17,629 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:17,698 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:17,762 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:17,819 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:17,883 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:17,949 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,009 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,074 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,138 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,197 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,264 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,324 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,391 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,457 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,514 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,576 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,642 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,700 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,767 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,827 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,892 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:18,958 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,102 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,168 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,235 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,302 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,369 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,427 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,492 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,558 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,618 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
2025-04-23 15:22:19,687 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:5
