2025-04-17 17:57:24,317 - INFO - Created a socket
2025-04-17 17:57:24,319 - INFO - Created a socket
2025-04-17 17:57:24,663 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:24,840 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,000 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,176 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,310 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,443 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,593 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,733 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,883 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:25,962 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,055 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,143 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,271 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,392 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,622 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,721 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,789 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,854 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:26,929 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,091 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,170 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,288 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,393 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,491 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,611 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,708 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,802 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-17 17:57:27,878 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
