2025-04-23 16:26:14,324 - INFO - Created a socket
2025-04-23 16:26:14,328 - INFO - Created a socket
2025-04-23 16:26:20,702 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:20,937 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:21,102 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:21,379 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:21,519 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:21,786 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:21,861 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,035 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,108 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,173 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,244 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,314 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,376 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,456 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,533 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,599 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,657 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,737 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,837 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,918 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:22,984 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,056 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,123 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,260 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,335 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,408 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,476 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,564 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,634 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,712 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,817 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,897 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:23,971 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,037 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,150 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,221 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,279 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,347 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,415 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,475 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,541 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,609 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,669 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,737 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,805 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,895 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:24,969 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,040 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,111 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,172 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,241 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,308 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,368 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,447 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,520 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,614 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,692 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,766 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,835 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,911 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:25,973 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,040 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,110 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,173 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,241 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,308 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,368 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,441 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,582 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,651 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,718 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,775 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,839 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,905 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:26,967 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,037 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,104 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,166 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,232 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,298 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,366 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,440 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,506 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,567 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,640 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,712 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,777 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,880 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
2025-04-23 16:26:27,948 - INFO - state.v: 2.7, nearest_index: (0,), min_diff_Index:4
